brand,processor,ram_gb,storage_gb,storage_type,gpu,screen_size,release_year,age_years,condition,original_price,fair_price
Dell,Ryzen 5,64,512,HDD,GTX 1650,13.0,2022,2,Good,124478,34111
Apple,i9,64,1024,SSD,Integrated,13.0,2019,5,Good,170335,30656
Acer,Ryzen 7,16,1024,SSD,GTX 1650,14.0,2022,2,Good,99213,22345
Acer,Ryzen 5,64,1024,SSD,RTX 4070,13.0,2018,6,Poor,156047,8000
Apple,i5,16,256,SSD,RTX 4070,17.0,2018,6,Fair,107972,9239
Lenovo,Ryzen 9,64,1024,SSD,Integrated,13.0,2022,2,Fair,162570,29930
Lenovo,M1,8,512,SSD,RTX 3050,17.0,2022,2,Good,107960,26725
Asus,i7,64,1024,HDD,M2 GPU,16.0,2018,6,Good,145709,14459
Dell,i9,64,256,HDD,M1 GPU,14.0,2023,1,Good,145204,42125
MSI,i7,16,256,SSD,RTX 3060,16.0,2020,4,Good,103690,22667
Asus,i3,32,1024,SSD,M2 GPU,15.6,2018,6,Excellent,117866,14491
Apple,i3,32,1024,SSD,Integrated,15.6,2020,4,Good,80247,19463
Lenovo,i3,32,512,SSD,RTX 4070,17.0,2019,5,Good,122517,18497
Asus,Ryzen 5,32,1024,SSD,M1 GPU,15.6,2018,6,Excellent,106193,14333
Lenovo,Ryzen 5,8,2048,SSD,M2 GPU,14.0,2019,5,Good,102636,15753
MSI,M2,16,256,SSD,GTX 1650,13.0,2019,5,Fair,130887,15128
HP,i5,32,2048,HDD,RTX 3060,15.6,2019,5,Fair,117226,11017
Apple,Ryzen 5,8,1024,SSD,M2 GPU,14.0,2018,6,Good,97622,12206
Dell,M1,16,2048,SSD,RTX 3060,13.0,2019,5,Fair,145107,14318
Lenovo,i7,32,512,HDD,RTX 4070,17.0,2023,1,Poor,151136,20525
Apple,i9,16,1024,SSD,M2 GPU,15.6,2021,3,Good,145238,43496
MSI,i5,32,2048,SSD,RTX 3050,17.0,2023,1,Good,117775,43106
Dell,M2,8,512,SSD,RTX 3060,13.0,2020,4,Good,136759,27378
Lenovo,i9,16,512,SSD,RTX 3060,16.0,2018,6,Fair,131876,10509
HP,Ryzen 9,64,512,HDD,RTX 4070,17.0,2019,5,Excellent,197664,33801
MSI,i7,16,256,HDD,Integrated,13.0,2018,6,Fair,84106,8000
Asus,Ryzen 7,16,256,SSD,RTX 3060,15.6,2018,6,Excellent,109784,13587
Acer,M1,16,256,SSD,M2 GPU,16.0,2019,5,Good,103640,11967
HP,Ryzen 7,16,512,SSD,RTX 3060,13.0,2019,5,Excellent,101485,18719
HP,M2,32,2048,SSD,RTX 3060,16.0,2019,5,Good,172736,24519
Lenovo,M2,16,2048,SSD,M2 GPU,17.0,2020,4,Excellent,170805,44122
Dell,i7,32,2048,SSD,RTX 3060,17.0,2023,1,Fair,163599,37880
Apple,i5,32,512,SSD,GTX 1650,14.0,2019,5,Good,87638,14684
Acer,Ryzen 9,8,256,SSD,Integrated,15.6,2022,2,Good,86028,22223
MSI,i9,8,2048,SSD,RTX 4070,16.0,2018,6,Good,159020,18792
Acer,Ryzen 5,16,256,SSD,RTX 3050,15.6,2023,1,Good,76101,22239
Apple,Ryzen 9,32,2048,SSD,M1 GPU,14.0,2022,2,Poor,144585,21368
HP,Ryzen 7,32,1024,HDD,RTX 4070,17.0,2018,6,Fair,143845,10525
HP,i9,8,1024,HDD,GTX 1650,14.0,2020,4,Poor,111058,8269
Lenovo,i7,16,256,HDD,M1 GPU,13.0,2021,3,Poor,87930,9807
Lenovo,M1,16,256,SSD,RTX 4070,15.6,2022,2,Good,131734,33651
MSI,i3,64,256,SSD,M2 GPU,15.6,2020,4,Excellent,140020,33700
Asus,i7,16,2048,SSD,GTX 1650,17.0,2021,3,Good,114009,27602
Lenovo,Ryzen 9,32,1024,SSD,GTX 1650,13.0,2018,6,Excellent,129323,17684
MSI,Ryzen 9,8,512,SSD,M1 GPU,14.0,2019,5,Fair,100980,11712
MSI,i7,64,1024,SSD,M2 GPU,17.0,2018,6,Poor,159746,8135
Apple,i5,64,512,SSD,M2 GPU,13.0,2020,4,Excellent,129084,36466
HP,Ryzen 7,16,1024,SSD,M1 GPU,16.0,2021,3,Good,106148,23577
Lenovo,i3,8,2048,SSD,GTX 1650,14.0,2019,5,Good,86047,12383
Lenovo,i7,8,2048,HDD,RTX 4070,17.0,2020,4,Good,127899,23636
Acer,Ryzen 7,8,256,HDD,RTX 4070,17.0,2022,2,Good,122495,32282
Acer,M2,16,2048,SSD,RTX 4070,13.0,2018,6,Poor,181100,8000
Lenovo,Ryzen 5,8,1024,SSD,RTX 3060,13.0,2019,5,Good,90848,12263
Lenovo,Ryzen 9,16,256,SSD,RTX 3050,13.0,2018,6,Poor,107864,8000
HP,i9,8,1024,HDD,M2 GPU,13.0,2021,3,Excellent,112786,32565
Dell,M1,32,256,SSD,RTX 3050,14.0,2021,3,Fair,121242,20591
HP,i5,16,256,SSD,GTX 1650,13.0,2018,6,Poor,77904,8000
Dell,i7,16,512,SSD,GTX 1650,17.0,2020,4,Good,92801,15944
Acer,Ryzen 9,64,2048,SSD,RTX 3050,14.0,2023,1,Fair,206146,38272
HP,M1,32,2048,SSD,M1 GPU,15.6,2020,4,Fair,154013,19532
Lenovo,i7,32,1024,HDD,RTX 3060,16.0,2019,5,Excellent,123566,22944
HP,i7,32,1024,SSD,RTX 3060,16.0,2022,2,Excellent,149080,46186
Dell,i9,8,2048,SSD,M1 GPU,17.0,2020,4,Good,141682,28682
Lenovo,Ryzen 9,16,512,SSD,RTX 4070,13.0,2019,5,Good,136866,18450
Acer,i3,8,2048,SSD,M1 GPU,16.0,2021,3,Good,84189,15538
Asus,Ryzen 5,64,256,SSD,M1 GPU,14.0,2020,4,Good,117441,22800
Dell,M2,32,256,HDD,GTX 1650,16.0,2019,5,Good,121500,16665
HP,M1,16,2048,SSD,M2 GPU,15.6,2019,5,Good,153382,21233
Asus,M2,16,512,SSD,RTX 3050,13.0,2023,1,Fair,122083,29694
Lenovo,i7,16,2048,SSD,RTX 3060,14.0,2023,1,Good,149072,50348
Apple,i3,32,1024,HDD,RTX 3060,17.0,2019,5,Good,110676,18533
Asus,i5,16,2048,SSD,RTX 4070,17.0,2023,1,Good,128774,39960
HP,i9,16,1024,SSD,Integrated,14.0,2018,6,Poor,120945,8000
Asus,i3,64,512,SSD,GTX 1650,14.0,2023,1,Good,116861,38287
Apple,Ryzen 5,16,512,SSD,M2 GPU,13.0,2021,3,Excellent,82900,30000
HP,M1,32,256,SSD,M2 GPU,16.0,2021,3,Good,135896,29077
HP,i3,32,512,SSD,Integrated,16.0,2022,2,Fair,77059,14617
Asus,Ryzen 7,8,512,HDD,RTX 3050,15.6,2022,2,Fair,92518,19255
Apple,Ryzen 5,16,1024,SSD,RTX 3050,14.0,2022,2,Excellent,99092,39685
Acer,M2,16,512,SSD,M2 GPU,17.0,2022,2,Good,136805,32424
HP,Ryzen 7,16,512,SSD,RTX 3050,14.0,2019,5,Good,93200,11091
MSI,Ryzen 5,16,512,SSD,GTX 1650,17.0,2021,3,Good,80324,21348
Asus,i5,32,512,SSD,RTX 3060,13.0,2020,4,Excellent,104132,24996
Asus,M1,8,512,SSD,RTX 3060,13.0,2019,5,Excellent,114665,20615
Apple,M2,32,512,SSD,RTX 4070,17.0,2018,6,Good,193546,22376
Acer,M1,32,2048,HDD,M1 GPU,15.6,2018,6,Good,141680,13117
Acer,i7,8,1024,SSD,GTX 1650,13.0,2022,2,Excellent,100985,30563
Acer,i5,64,256,HDD,RTX 3050,14.0,2018,6,Excellent,121736,12790
Asus,i5,16,512,HDD,M1 GPU,16.0,2023,1,Poor,78920,11479
Asus,Ryzen 9,16,256,SSD,GTX 1650,15.6,2018,6,Good,99904,9520
Lenovo,Ryzen 7,64,512,SSD,M2 GPU,16.0,2020,4,Good,162066,30415
Apple,M2,64,256,SSD,GTX 1650,17.0,2023,1,Good,159659,65528
Acer,Ryzen 9,16,512,SSD,GTX 1650,14.0,2020,4,Good,117483,20184
Asus,Ryzen 9,8,1024,HDD,GTX 1650,17.0,2018,6,Fair,103042,8000
Lenovo,Ryzen 9,8,2048,SSD,RTX 3050,16.0,2021,3,Excellent,135398,38295
Acer,Ryzen 5,16,2048,SSD,M2 GPU,13.0,2019,5,Good,108797,15103
Apple,i7,32,1024,SSD,M2 GPU,16.0,2020,4,Excellent,135458,43352
Acer,i9,64,256,SSD,GTX 1650,16.0,2019,5,Good,172909,21645
Dell,M2,64,1024,SSD,M1 GPU,16.0,2020,4,Poor,182114,16555
Dell,i9,16,512,SSD,RTX 3060,17.0,2020,4,Good,122138,23024
Dell,Ryzen 7,8,1024,SSD,M2 GPU,17.0,2022,2,Good,107821,28844
Asus,i7,32,512,SSD,RTX 3060,17.0,2021,3,Poor,138490,13609
Apple,Ryzen 7,32,256,SSD,GTX 1650,16.0,2023,1,Fair,108548,31629
Apple,M1,16,256,SSD,RTX 4070,16.0,2021,3,Fair,142164,27745
Asus,Ryzen 5,32,256,SSD,M1 GPU,15.6,2021,3,Good,95677,22147
Lenovo,i5,8,512,HDD,RTX 4070,14.0,2018,6,Good,107271,11751
Asus,Ryzen 9,32,1024,HDD,Integrated,17.0,2021,3,Good,117243,27956
HP,Ryzen 9,8,256,HDD,RTX 4070,13.0,2020,4,Fair,145961,18636
HP,M2,32,512,SSD,Integrated,14.0,2020,4,Good,130890,21494
HP,M1,64,256,SSD,GTX 1650,13.0,2018,6,Fair,134378,8431
HP,i5,32,1024,HDD,Integrated,17.0,2022,2,Poor,76843,9131
Dell,Ryzen 7,32,2048,SSD,M2 GPU,13.0,2023,1,Excellent,141494,59887
Asus,M2,8,1024,SSD,RTX 3050,15.6,2021,3,Excellent,129023,36157
Asus,Ryzen 7,64,2048,SSD,M2 GPU,17.0,2023,1,Good,165024,48711
Asus,i7,16,1024,SSD,GTX 1650,17.0,2023,1,Fair,110354,22825
HP,i5,32,256,SSD,RTX 4070,13.0,2019,5,Good,127440,18035
Apple,i5,16,2048,SSD,M1 GPU,13.0,2020,4,Good,101363,22394
Dell,i7,64,512,SSD,RTX 4070,13.0,2022,2,Poor,165832,21670
Acer,Ryzen 5,64,2048,SSD,RTX 3060,17.0,2022,2,Fair,169046,28356
Dell,i5,8,256,SSD,RTX 3060,15.6,2018,6,Poor,90430,8000
Acer,i5,16,512,SSD,Integrated,13.0,2018,6,Fair,63269,8000
HP,M2,64,256,HDD,M2 GPU,16.0,2022,2,Good,197282,53522
HP,i5,32,256,SSD,M1 GPU,16.0,2023,1,Fair,93868,19039
Lenovo,Ryzen 7,16,2048,HDD,RTX 3050,14.0,2020,4,Good,96292,17021
Apple,i9,16,1024,SSD,M2 GPU,16.0,2018,6,Poor,140793,8000
MSI,M1,16,2048,SSD,RTX 3050,16.0,2021,3,Excellent,135202,43990
Dell,i3,8,512,SSD,RTX 3050,13.0,2020,4,Excellent,67038,17382
MSI,i3,16,2048,SSD,M2 GPU,17.0,2019,5,Excellent,99900,20842
MSI,Ryzen 9,8,1024,SSD,Integrated,17.0,2020,4,Good,92273,17671
HP,i9,32,1024,SSD,M2 GPU,17.0,2019,5,Fair,164774,16355
Asus,Ryzen 7,64,1024,SSD,M1 GPU,15.6,2022,2,Good,136998,34965
Acer,i7,64,1024,SSD,RTX 3060,17.0,2019,5,Good,184245,21221
HP,i9,16,512,HDD,Integrated,15.6,2018,6,Good,107534,10326
MSI,i5,32,256,SSD,RTX 3050,14.0,2022,2,Fair,105451,22219
Lenovo,i5,8,2048,SSD,GTX 1650,15.6,2018,6,Excellent,101625,13154
Apple,i3,32,256,HDD,RTX 3060,13.0,2023,1,Poor,96118,15945
Acer,i5,8,1024,SSD,GTX 1650,17.0,2022,2,Fair,72077,11498
MSI,M2,32,512,HDD,M2 GPU,14.0,2020,4,Good,145107,27806
Dell,i5,8,1024,SSD,GTX 1650,15.6,2018,6,Good,74431,8072
MSI,M1,16,1024,SSD,RTX 3050,15.6,2020,4,Fair,133487,21236
Dell,M2,32,256,SSD,Integrated,14.0,2020,4,Poor,127950,9806
Apple,i3,16,2048,SSD,M1 GPU,15.6,2022,2,Good,98400,33202
HP,i9,16,256,SSD,GTX 1650,13.0,2022,2,Good,99202,22955
Asus,M1,64,1024,HDD,Integrated,15.6,2023,1,Good,144472,39919
Acer,i7,32,2048,SSD,RTX 3050,16.0,2022,2,Good,145531,33779
Acer,i7,32,512,SSD,GTX 1650,13.0,2023,1,Poor,99459,13261
Apple,i7,16,256,HDD,GTX 1650,13.0,2022,2,Good,92269,29057
Acer,Ryzen 9,32,2048,SSD,GTX 1650,17.0,2022,2,Good,144550,35644
Asus,Ryzen 9,16,256,SSD,RTX 3060,13.0,2019,5,Fair,122974,13358
HP,M2,64,256,HDD,RTX 3060,17.0,2020,4,Excellent,172855,37368
HP,M2,16,1024,HDD,RTX 3050,16.0,2022,2,Good,121714,31578
MSI,M1,8,256,SSD,Integrated,13.0,2023,1,Good,87694,31627
Dell,M1,16,1024,HDD,GTX 1650,16.0,2022,2,Good,100970,29609
HP,M1,32,256,SSD,Integrated,17.0,2021,3,Good,113727,21618
Dell,i9,64,256,SSD,RTX 3050,14.0,2021,3,Good,166053,35309
Lenovo,Ryzen 7,8,256,SSD,Integrated,13.0,2022,2,Good,73118,19548
Apple,i7,32,2048,HDD,Integrated,13.0,2021,3,Good,102045,30614
Apple,i7,64,512,SSD,GTX 1650,15.6,2019,5,Excellent,151002,36053
Apple,Ryzen 5,64,2048,SSD,Integrated,15.6,2022,2,Excellent,133902,62527
HP,i3,32,1024,SSD,RTX 4070,16.0,2021,3,Good,139097,27109
Asus,i9,16,256,SSD,M1 GPU,13.0,2019,5,Good,119710,15978
Acer,Ryzen 7,64,2048,HDD,RTX 3060,14.0,2023,1,Good,162202,45636
Acer,i7,32,256,HDD,Integrated,15.6,2018,6,Excellent,88779,10636
HP,M2,32,1024,SSD,GTX 1650,15.6,2018,6,Excellent,136374,16719
Dell,i5,8,512,SSD,RTX 3050,13.0,2019,5,Excellent,78555,13229
Apple,i9,32,1024,HDD,Integrated,16.0,2019,5,Good,126880,22716
MSI,M2,32,2048,SSD,M1 GPU,13.0,2023,1,Fair,167581,43709
MSI,i9,8,2048,SSD,RTX 3050,13.0,2019,5,Fair,139701,14390
Lenovo,i3,64,512,SSD,RTX 4070,17.0,2018,6,Poor,159296,8000
Acer,i5,64,1024,HDD,RTX 4070,17.0,2018,6,Poor,149780,8000
Dell,i7,16,1024,SSD,M1 GPU,15.6,2020,4,Fair,109752,14989
Asus,i3,32,1024,SSD,M2 GPU,13.0,2020,4,Excellent,108383,22377
Acer,M1,32,256,HDD,RTX 3050,17.0,2019,5,Fair,119791,11300
Apple,M1,16,256,SSD,RTX 3060,16.0,2023,1,Fair,118400,30658
HP,i7,16,1024,SSD,RTX 3060,14.0,2020,4,Good,130677,23891
Lenovo,M1,64,2048,HDD,GTX 1650,14.0,2022,2,Excellent,143380,53560
HP,i9,8,2048,SSD,RTX 3050,15.6,2020,4,Good,136041,21140
Apple,Ryzen 7,8,256,HDD,Integrated,13.0,2021,3,Excellent,60680,21699
HP,M2,8,2048,HDD,M2 GPU,13.0,2018,6,Good,139525,13380
Acer,i3,8,1024,HDD,M2 GPU,15.6,2023,1,Good,70091,18427
Lenovo,i3,8,1024,SSD,GTX 1650,17.0,2020,4,Excellent,68006,15868
HP,M1,32,2048,SSD,M2 GPU,13.0,2021,3,Good,169139,35902
MSI,i9,32,2048,HDD,GTX 1650,17.0,2022,2,Poor,142296,18434
MSI,i7,16,512,SSD,RTX 4070,14.0,2020,4,Fair,138369,19908
Dell,i7,16,512,SSD,Integrated,16.0,2023,1,Fair,83869,18001
MSI,i7,64,256,SSD,GTX 1650,16.0,2019,5,Excellent,135889,25909
MSI,i5,32,1024,SSD,RTX 3050,15.6,2018,6,Good,107562,11464
Lenovo,i7,32,256,HDD,RTX 3060,14.0,2023,1,Good,115425,38177
MSI,Ryzen 5,32,2048,HDD,RTX 3050,17.0,2023,1,Fair,114993,30283
Lenovo,i9,8,256,SSD,RTX 3050,17.0,2019,5,Fair,119381,13196
Dell,M2,32,512,HDD,RTX 3060,16.0,2021,3,Good,155126,38521
Asus,i9,64,1024,SSD,RTX 3060,13.0,2018,6,Good,205151,18739
Lenovo,Ryzen 5,32,512,SSD,M2 GPU,16.0,2023,1,Good,105668,35236
Apple,Ryzen 9,8,2048,SSD,Integrated,17.0,2019,5,Good,122537,21812
Dell,Ryzen 5,32,256,SSD,RTX 4070,15.6,2023,1,Excellent,129192,56858
Acer,Ryzen 9,64,1024,HDD,M1 GPU,13.0,2019,5,Good,149468,18524
Lenovo,M2,64,512,HDD,RTX 3060,14.0,2022,2,Poor,178540,23482
MSI,i7,16,1024,HDD,RTX 4070,13.0,2023,1,Fair,123315,30579
Apple,i5,8,256,SSD,GTX 1650,17.0,2023,1,Excellent,65176,34382
HP,Ryzen 5,8,1024,SSD,RTX 4070,15.6,2023,1,Fair,109385,25381
HP,Ryzen 7,64,512,SSD,RTX 4070,14.0,2019,5,Good,193757,24107
Dell,i5,64,512,SSD,M2 GPU,15.6,2022,2,Excellent,139308,51402
Acer,Ryzen 5,64,256,HDD,M1 GPU,14.0,2020,4,Good,125359,21531
Lenovo,i9,64,2048,SSD,M2 GPU,14.0,2022,2,Good,182900,45051
Dell,Ryzen 9,32,2048,HDD,RTX 3050,13.0,2018,6,Excellent,146149,17618
HP,i9,16,2048,SSD,RTX 3050,17.0,2021,3,Fair,133571,19733
Apple,Ryzen 7,8,256,SSD,RTX 3060,17.0,2020,4,Fair,94299,15541
Apple,Ryzen 5,32,256,SSD,M2 GPU,13.0,2020,4,Good,95813,20779
Asus,M2,8,256,SSD,M2 GPU,14.0,2020,4,Good,127631,23303
Lenovo,i9,64,256,HDD,Integrated,16.0,2019,5,Good,147558,21318
MSI,Ryzen 7,64,256,SSD,GTX 1650,14.0,2018,6,Excellent,128937,17151
Lenovo,Ryzen 9,8,2048,SSD,Integrated,16.0,2021,3,Good,119585,26995
MSI,M1,32,2048,SSD,RTX 3050,14.0,2019,5,Excellent,153443,29849
HP,Ryzen 5,16,2048,SSD,M1 GPU,14.0,2018,6,Excellent,106910,13160
Asus,M1,16,1024,SSD,RTX 3050,16.0,2019,5,Good,112648,14634
Lenovo,i3,64,256,SSD,M2 GPU,13.0,2020,4,Good,126055,21941
Acer,Ryzen 9,32,2048,SSD,GTX 1650,15.6,2019,5,Good,159062,19692
MSI,M1,64,512,SSD,RTX 3050,16.0,2022,2,Fair,157766,33333
Dell,M1,16,256,SSD,RTX 4070,13.0,2018,6,Fair,150619,10286
Asus,Ryzen 5,16,2048,SSD,M2 GPU,14.0,2023,1,Good,119582,36698
HP,i5,32,2048,HDD,M1 GPU,17.0,2022,2,Good,103844,25596
Asus,M2,16,2048,SSD,RTX 4070,17.0,2023,1,Good,194695,56008
Apple,M2,8,1024,SSD,RTX 4070,14.0,2019,5,Good,153184,29215
Lenovo,i5,16,512,HDD,RTX 3060,17.0,2018,6,Fair,86128,8000
MSI,i5,64,2048,SSD,M2 GPU,14.0,2020,4,Fair,150138,20156
Acer,Ryzen 9,32,1024,SSD,RTX 3060,15.6,2019,5,Excellent,167010,26537
Apple,i7,32,1024,SSD,M1 GPU,17.0,2021,3,Good,120120,34800
HP,M2,16,512,HDD,Integrated,13.0,2023,1,Good,103661,31955
Acer,M1,8,512,SSD,M1 GPU,17.0,2018,6,Excellent,108969,11999
MSI,i5,64,256,HDD,RTX 4070,16.0,2023,1,Excellent,149356,64851
HP,Ryzen 5,16,2048,HDD,Integrated,14.0,2018,6,Excellent,70580,8000
MSI,Ryzen 7,16,512,SSD,Integrated,13.0,2022,2,Poor,81463,10287
Lenovo,M1,32,256,HDD,RTX 3050,15.6,2018,6,Good,116054,11703
MSI,i9,16,2048,SSD,GTX 1650,13.0,2022,2,Good,124890,39350
Acer,i9,16,256,HDD,RTX 3050,17.0,2023,1,Excellent,128816,42021
MSI,Ryzen 5,16,256,SSD,M2 GPU,16.0,2023,1,Fair,95317,24233
Dell,i9,64,256,HDD,RTX 3050,17.0,2018,6,Excellent,161683,20127
Apple,Ryzen 7,8,512,SSD,RTX 3050,17.0,2018,6,Good,90191,11399
MSI,Ryzen 9,64,256,SSD,M2 GPU,14.0,2018,6,Good,157557,17933
Apple,i5,64,256,SSD,M2 GPU,17.0,2022,2,Good,133671,41106
Lenovo,i7,32,512,HDD,RTX 4070,16.0,2021,3,Fair,139013,21832
Apple,M2,64,2048,SSD,M1 GPU,13.0,2021,3,Good,189401,53173
Acer,M1,8,256,HDD,GTX 1650,14.0,2022,2,Good,95056,23974
Acer,i7,32,512,SSD,M2 GPU,13.0,2021,3,Good,118659,25113
Asus,Ryzen 5,32,1024,SSD,RTX 3050,13.0,2020,4,Good,114469,22244
Lenovo,Ryzen 7,8,256,SSD,M2 GPU,13.0,2021,3,Good,98299,22830
Asus,i5,32,2048,HDD,Integrated,15.6,2021,3,Good,80494,16959
Apple,Ryzen 9,8,2048,SSD,RTX 3060,16.0,2019,5,Excellent,150400,35838
Dell,Ryzen 5,64,2048,SSD,GTX 1650,14.0,2021,3,Good,158912,34203
Dell,M1,64,2048,HDD,RTX 3050,16.0,2019,5,Good,162551,25193
Apple,Ryzen 7,64,256,SSD,GTX 1650,14.0,2018,6,Excellent,133174,19083
Apple,Ryzen 9,32,512,SSD,GTX 1650,16.0,2018,6,Good,132019,17032
Asus,M1,16,1024,SSD,M2 GPU,16.0,2022,2,Good,114765,28585
Apple,Ryzen 7,8,256,HDD,M1 GPU,14.0,2023,1,Poor,72689,13492
Asus,Ryzen 5,32,2048,HDD,RTX 3050,13.0,2023,1,Poor,114136,15855
Asus,Ryzen 9,8,2048,SSD,Integrated,16.0,2022,2,Good,111146,30531
Asus,i7,16,512,SSD,GTX 1650,16.0,2021,3,Fair,99052,14709
Dell,Ryzen 5,8,512,SSD,RTX 4070,13.0,2020,4,Good,115396,23118
Dell,M1,64,512,SSD,GTX 1650,14.0,2022,2,Good,162695,41071
Acer,Ryzen 9,16,256,SSD,M1 GPU,15.6,2021,3,Good,115737,25015
Asus,M1,32,2048,HDD,Integrated,15.6,2021,3,Good,108014,25190
Lenovo,Ryzen 7,32,512,SSD,M1 GPU,14.0,2021,3,Excellent,117975,37245
Acer,Ryzen 9,16,2048,SSD,RTX 3050,13.0,2018,6,Excellent,134510,14286
Lenovo,Ryzen 7,64,1024,HDD,Integrated,15.6,2018,6,Excellent,130167,17208
MSI,M1,8,1024,SSD,GTX 1650,14.0,2023,1,Good,104894,33913
Apple,Ryzen 5,8,256,HDD,RTX 3050,15.6,2021,3,Poor,74116,8976
Dell,M1,32,256,HDD,RTX 3050,14.0,2020,4,Excellent,128279,28460
Lenovo,Ryzen 5,8,1024,SSD,M2 GPU,16.0,2020,4,Fair,90921,12970
Asus,i7,16,1024,SSD,GTX 1650,16.0,2020,4,Fair,101003,12311
HP,i3,16,1024,SSD,RTX 4070,17.0,2021,3,Good,107640,20592
HP,M2,8,256,HDD,RTX 3060,16.0,2022,2,Excellent,132463,45933
Acer,Ryzen 9,64,512,SSD,Integrated,17.0,2018,6,Good,151995,13260
Acer,i9,16,512,SSD,RTX 3060,15.6,2019,5,Good,135873,16871
Acer,Ryzen 7,16,512,SSD,M2 GPU,15.6,2021,3,Good,105228,19449
Lenovo,Ryzen 9,8,256,SSD,M2 GPU,17.0,2019,5,Excellent,120574,21589
Apple,i3,16,1024,HDD,GTX 1650,13.0,2020,4,Good,66583,16518
Acer,Ryzen 5,16,512,SSD,M1 GPU,17.0,2022,2,Excellent,79516,24246
Acer,i3,64,512,HDD,M2 GPU,13.0,2018,6,Poor,139315,8000
HP,Ryzen 9,8,512,SSD,RTX 3050,14.0,2023,1,Fair,118088,27342
Dell,M2,64,1024,SSD,Integrated,17.0,2021,3,Poor,178897,17167
Acer,M2,32,512,HDD,GTX 1650,15.6,2021,3,Good,134731,26995
MSI,Ryzen 5,16,256,SSD,M1 GPU,17.0,2019,5,Good,71236,11521
Lenovo,i9,32,512,SSD,RTX 3050,13.0,2021,3,Fair,139509,24630
HP,Ryzen 9,16,2048,SSD,RTX 4070,16.0,2018,6,Fair,161784,10902
Dell,i3,16,2048,SSD,RTX 4070,14.0,2018,6,Poor,134377,8000
Acer,Ryzen 7,32,256,HDD,RTX 3050,17.0,2021,3,Excellent,110801,25966
HP,Ryzen 9,32,1024,SSD,RTX 3060,17.0,2018,6,Fair,162044,10092
Dell,i9,32,256,SSD,RTX 4070,14.0,2021,3,Fair,158173,27051
Dell,M2,32,512,SSD,RTX 3060,16.0,2023,1,Fair,155163,38289
Lenovo,Ryzen 9,8,2048,SSD,RTX 3060,14.0,2020,4,Good,141398,25963
Asus,Ryzen 5,8,1024,SSD,RTX 3050,13.0,2023,1,Excellent,84671,34894
Dell,i9,64,1024,SSD,M2 GPU,17.0,2018,6,Poor,189092,8897
MSI,i5,8,512,SSD,M2 GPU,17.0,2023,1,Fair,88642,23748
Dell,M2,16,512,SSD,RTX 3060,15.6,2023,1,Good,129615,39652
Acer,i5,8,2048,SSD,RTX 3060,14.0,2021,3,Poor,111691,11269
MSI,i3,16,512,HDD,Integrated,17.0,2023,1,Poor,53788,8025
Asus,Ryzen 7,16,2048,HDD,GTX 1650,16.0,2021,3,Good,100446,22834
MSI,M2,64,2048,SSD,Integrated,13.0,2022,2,Excellent,191722,72876
HP,i5,16,2048,HDD,RTX 3050,15.6,2019,5,Fair,86885,8000
Dell,M1,32,256,SSD,Integrated,16.0,2019,5,Fair,96472,9485
Acer,Ryzen 9,16,256,SSD,GTX 1650,14.0,2018,6,Good,114182,10605
Acer,i5,16,256,SSD,Integrated,17.0,2021,3,Good,62896,11637
Apple,Ryzen 5,64,1024,SSD,GTX 1650,15.6,2020,4,Excellent,135226,39288
Asus,M1,64,512,HDD,Integrated,16.0,2019,5,Good,137354,18953
Apple,M2,32,512,HDD,RTX 3050,13.0,2019,5,Good,151546,28178
Asus,i7,16,2048,SSD,M2 GPU,17.0,2018,6,Good,130274,13716
Apple,i9,32,256,HDD,Integrated,13.0,2020,4,Fair,122637,21291
Acer,M1,64,256,SSD,Integrated,17.0,2022,2,Good,128186,29746
Lenovo,M2,8,1024,SSD,M2 GPU,15.6,2018,6,Fair,138971,10426
Apple,i3,16,1024,HDD,RTX 3050,15.6,2023,1,Good,80817,33689
Acer,M1,64,1024,SSD,M2 GPU,16.0,2023,1,Good,174398,47215
Lenovo,i3,16,512,HDD,RTX 3060,16.0,2019,5,Excellent,78350,14727
HP,i3,8,1024,HDD,RTX 4070,13.0,2022,2,Excellent,97917,33115
Apple,i7,64,2048,SSD,RTX 3060,16.0,2023,1,Good,189614,71080
Acer,i7,16,2048,SSD,GTX 1650,13.0,2019,5,Excellent,118020,19078
Dell,M1,8,1024,SSD,RTX 3060,16.0,2021,3,Good,130661,32341
Dell,Ryzen 9,32,512,SSD,M2 GPU,17.0,2021,3,Excellent,141774,42545
HP,Ryzen 7,8,512,HDD,M1 GPU,16.0,2021,3,Excellent,88347,24251
Dell,i5,8,1024,HDD,GTX 1650,14.0,2018,6,Good,66660,8000
Lenovo,M2,8,256,SSD,RTX 3060,16.0,2023,1,Fair,129097,28991
MSI,Ryzen 5,8,1024,HDD,M2 GPU,13.0,2023,1,Poor,78802,12530
Asus,M1,16,2048,SSD,M1 GPU,15.6,2018,6,Excellent,142763,17122
MSI,M2,64,1024,SSD,RTX 3060,14.0,2018,6,Good,212586,25169
Dell,M1,32,256,HDD,RTX 3050,13.0,2021,3,Good,116806,25488
Apple,Ryzen 7,16,1024,HDD,Integrated,16.0,2022,2,Good,72463,22543
Asus,Ryzen 9,16,2048,SSD,M1 GPU,17.0,2023,1,Fair,125539,29209
